48.53,47.75,50.39,50.41,52.69,50.05,49.0,49.97,48.47,49.1
58.48,61.37,61.21,61.47,62.19,62.69,64.13,61.81,57.99,63.35
69.06,68.81,66.78,66.82,67.57,67.77,67.91,67.11,67.98,68.45
71.67,72.48,70.94,72.1,72.86,71.68,72.09,70.3,71.02,71.28
74.62,73.31,75.12,75.64,72.17,74.1,74.29,74.71,75.58,74.66
72.96,75.87,77.11,76.51,77.42,76.41,76.67,77.07,74.84,77.05
77.7,76.91,78.35,79.16,78.86,78.44,77.88,78.6,79.07,77.68
79.45,79.36,79.09,79.84,78.24,79.75,79.68,80.03,79.73,79.91
81.75,80.53,78.59,80.5,79.66,79.86,80.73,81.32,80.56,81.65
81.7,81.3,79.88,80.94,81.68,81.39,81.63,81.84,80.27,82.13
82.15,81.57,82.07,82.14,81.97,82.47,82.7,81.44,80.62,81.14
83.58,83.13,82.04,81.99,82.53,82.85,81.29,81.28,82.08,82.44
82.73,83.08,83.22,81.06,82.5,83.6,83.77,82.89,83.1,82.56
83.95,82.62,83.71,83.05,84.27,84.0,82.93,82.44,83.14,83.86
84.11,84.6,84.51,84.28,83.96,83.16,83.56,83.8,84.6,84.07
83.35,84.86,84.94,83.71,84.41,85.08,84.49,83.14,84.14,83.72
84.73,84.49,84.16,84.54,85.31,84.6,84.27,84.66,82.6,83.86
84.84,84.5,85.57,84.95,84.84,85.68,84.44,85.46,84.57,84.65
84.53,82.26,85.84,84.75,84.9,84.68,85.77,85.62,85.62,85.51
85.88,84.8,84.96,85.08,84.79,85.4,84.64,85.59,84.96,84.84
86.43,84.89,86.51,86.02,85.97,85.42,86.09,85.26,85.46,85.47
86.48,85.35,85.24,86.19,86.22,85.51,86.38,86.53,86.3,85.9
85.95,84.94,85.82,86.7,86.88,83.95,86.02,85.69,85.95,84.54
86.52,86.37,87.06,86.86,86.05,85.57,85.44,86.22,86.08,85.74
86.23,85.63,87.2,86.31,85.27,86.18,86.29,86.59,87.16,86.1
86.97,86.15,86.69,85.88,85.49,86.36,86.13,85.0,85.66,86.64
86.06,87.15,86.86,86.17,85.86,86.35,86.46,85.33,86.14,87.08
86.83,87.1,87.06,87.05,86.5,86.73,87.46,87.48,86.68,86.2
86.26,87.24,86.75,86.7,86.4,87.63,86.46,86.85,87.32,87.41
87.41,87.1,86.61,87.91,86.92,87.67,86.98,87.7,86.95,85.98
87.23,87.11,86.99,87.38,85.71,86.65,86.73,87.66,87.05,87.61
87.18,87.16,86.34,87.37,87.21,85.46,86.55,88.16,86.04,87.37
87.06,86.53,87.79,86.93,86.48,86.81,87.98,87.45,87.41,86.4
87.64,87.37,87.71,88.1,87.41,85.93,86.64,87.23,86.83,87.58
87.83,87.87,86.94,87.2,86.92,87.44,86.92,87.76,86.94,88.49
87.26,86.79,87.65,87.52,87.46,88.34,86.67,87.34,87.27,87.19
88.1,87.84,87.1,86.64,86.86,87.99,87.44,88.6,87.99,88.31
87.83,87.4,87.97,87.33,86.78,86.89,88.2,88.3,87.78,87.49
87.0,88.16,86.82,87.79,86.34,88.34,87.39,86.62,87.96,88.02
87.88,87.52,86.35,87.52,86.55,87.17,86.3,86.7,87.76,87.94
87.9,87.65,87.29,88.13,87.96,87.44,87.65,88.27,87.7,88.15
87.61,87.27,88.66,88.1,88.24,87.91,87.32,87.47,88.59,87.77
87.33,87.95,87.67,88.15,87.55,88.81,88.13,87.8,88.13,88.37
88.47,87.33,87.98,88.61,87.84,88.38,88.43,88.04,87.63,87.66
87.95,88.45,87.7,88.48,87.87,88.07,87.66,88.25,88.46,88.26
87.92,87.69,88.47,88.16,88.13,88.0,87.72,88.37,87.28,88.28
87.04,87.26,88.7,88.55,88.25,88.34,87.91,87.92,88.1,88.2
87.78,88.25,88.22,87.81,87.48,88.21,86.95,87.97,88.52,88.11
86.96,88.97,87.86,88.3,87.55,87.91,87.89,87.84,87.37,87.33
87.84,87.74,86.92,88.17,87.24,88.56,88.32,87.87,87.3,88.11
88.87,87.82,87.91,88.38,89.1,88.85,87.91,87.91,87.89,87.85
