9.9,22.82,24.21,10.0,9.77,24.26,22.99,9.99,20.89,22.85
9.9,32.39,28.13,10.92,9.87,29.9,31.76,10.21,25.51,29.27
9.82,35.37,33.83,10.0,9.69,35.8,39.37,20.69,33.27,34.06
10.02,43.51,42.77,27.66,10.0,41.78,48.72,26.32,36.06,43.3
19.49,51.44,50.94,34.47,10.34,52.49,54.99,30.77,44.69,51.13
28.19,55.04,60.09,43.53,21.25,54.96,60.89,40.89,51.9,53.73
38.93,58.92,61.68,47.77,21.99,60.65,64.83,48.33,53.14,58.86
44.68,61.15,64.37,51.19,33.31,64.76,65.21,53.93,59.99,62.11
52.61,64.96,68.31,56.59,41.16,67.11,68.19,57.97,63.68,63.78
55.12,66.92,70.86,58.06,46.36,69.1,67.52,61.58,67.25,66.85
58.74,67.18,70.39,60.76,50.67,69.92,70.55,61.42,69.19,69.31
63.59,69.89,73.09,63.54,59.84,70.53,73.14,66.46,69.46,69.78
63.66,72.54,74.92,64.43,63.49,67.41,73.97,67.8,70.43,71.34
67.9,72.12,77.57,64.68,65.38,74.91,73.39,69.1,74.29,72.17
69.01,74.57,77.57,68.16,66.31,75.43,76.53,70.32,73.23,74.64
71.09,75.87,79.06,70.25,69.66,76.63,77.6,70.64,75.58,73.7
71.5,76.76,77.96,70.01,72.49,76.94,77.04,71.6,76.87,75.79
72.77,77.19,79.28,68.46,72.45,76.92,80.62,74.15,77.16,76.32
75.97,79.08,80.84,73.89,72.85,79.48,80.54,73.76,78.53,78.96
76.84,80.55,81.6,73.5,73.44,79.97,80.63,76.55,80.04,78.35
77.13,80.43,82.09,74.93,76.98,80.76,81.35,75.07,81.29,79.59
78.09,80.87,82.43,72.19,76.44,79.15,81.75,77.82,82.22,79.22
80.54,81.09,83.12,76.47,77.78,79.97,82.62,77.41,82.36,80.65
80.77,81.09,81.49,76.76,78.75,82.46,83.01,78.53,82.71,80.72
80.22,82.44,84.1,78.21,78.8,82.04,83.69,78.84,83.22,81.91
81.95,84.01,84.61,78.61,80.37,82.05,83.67,78.71,83.23,82.11
81.66,81.95,84.74,76.45,79.29,83.22,82.51,79.49,83.62,83.13
82.49,83.2,84.28,79.06,81.4,84.09,84.68,79.5,83.76,83.46
83.55,84.93,85.14,80.31,82.02,84.22,83.24,80.78,84.79,82.24
82.78,84.61,85.35,80.23,81.86,82.6,85.24,81.54,85.08,84.34
84.55,83.0,85.97,80.49,82.21,84.42,84.26,81.25,85.1,84.53
83.47,85.01,86.15,81.55,82.72,84.03,85.42,79.05,84.78,84.67
82.85,85.21,85.72,81.67,83.45,85.1,85.96,80.25,85.49,84.28
83.12,84.29,85.82,81.1,83.34,84.89,86.11,82.0,86.66,84.81
84.27,84.71,85.72,82.54,84.51,86.25,86.38,82.67,85.75,84.93
84.86,85.19,85.97,82.56,85.19,85.34,85.86,82.85,84.89,85.22
85.52,86.22,85.87,81.98,85.07,85.9,86.79,83.05,86.02,85.31
85.85,85.28,87.53,83.44,84.45,85.56,86.02,83.54,86.42,84.85
85.29,85.26,86.35,82.58,84.43,86.42,87.57,83.3,86.03,86.17
86.01,86.07,86.56,82.36,85.13,83.94,84.84,83.3,86.1,86.23
86.16,86.71,87.43,84.33,84.9,85.14,87.35,84.04,87.35,85.38
86.14,85.61,87.59,81.73,84.47,86.89,87.03,84.31,87.72,86.56
87.12,87.56,87.96,84.23,84.48,87.41,87.34,83.42,87.67,86.24
87.25,87.09,87.71,83.44,86.11,87.59,87.43,84.46,85.82,86.54
86.35,84.99,86.87,84.69,86.37,86.61,87.14,84.02,87.58,86.3
87.09,87.41,87.51,83.89,85.95,83.99,87.99,84.68,87.69,85.91
86.5,87.89,88.26,84.85,86.11,86.71,86.99,83.62,87.41,87.06
87.27,85.93,88.63,84.96,86.54,86.47,87.42,84.13,88.09,86.94
87.09,88.21,87.98,85.5,86.48,85.98,87.43,83.17,88.18,87.65
87.11,88.53,87.37,85.16,86.42,87.59,87.74,85.39,87.32,87.19
87.66,87.83,88.17,85.64,86.39,87.79,88.29,85.28,86.36,87.48
87.48,87.99,88.48,85.8,84.28,87.51,87.95,84.45,87.75,87.67
88.49,88.47,88.47,86.28,86.47,88.37,89.0,85.23,88.29,87.66
88.14,88.02,88.61,83.96,87.11,88.31,87.78,86.11,88.13,87.14
86.38,88.37,88.66,85.33,87.3,88.51,88.29,85.18,88.8,87.64
88.69,87.82,88.95,84.89,87.86,87.59,88.94,84.3,88.54,86.79
87.72,88.2,88.02,85.51,87.9,87.42,87.47,85.49,88.86,87.72
87.85,87.98,86.92,85.81,87.59,88.52,87.95,86.39,87.91,88.46
88.2,88.36,88.89,85.89,87.97,88.96,88.72,85.49,87.59,88.49
87.36,87.86,89.08,85.75,87.37,88.39,88.53,86.16,87.92,88.47
87.47,88.02,89.74,86.87,88.09,89.47,88.61,86.37,87.52,88.97
88.69,88.63,88.21,86.49,87.85,88.59,88.03,86.3,88.87,88.83
87.93,88.95,89.25,86.07,88.1,89.1,88.97,86.16,89.12,88.58
88.31,88.86,87.94,86.7,88.3,87.55,89.43,86.91,88.4,87.73
87.71,88.67,89.36,86.41,88.35,87.9,88.62,86.76,88.57,87.33
88.66,88.19,88.47,85.89,87.78,89.31,88.9,86.26,88.6,89.0
88.46,88.43,88.28,84.89,88.02,88.39,89.03,86.42,88.98,88.52
88.74,90.07,90.27,87.24,88.39,88.6,88.96,86.89,87.09,89.26
88.36,88.76,89.83,86.41,88.48,89.23,89.37,86.53,87.72,88.68
88.73,89.37,89.57,87.02,88.13,88.99,89.2,86.73,87.73,88.41
88.73,87.04,88.09,87.02,89.01,87.2,89.92,87.07,89.07,87.71
87.47,89.0,89.03,87.45,86.88,88.86,89.14,86.34,88.2,88.85
87.85,89.38,89.04,87.89,88.71,88.75,88.87,87.28,88.66,88.66
87.7,88.89,89.6,86.52,87.93,89.02,89.09,87.32,88.13,88.9
87.22,88.99,90.18,87.13,88.06,89.17,88.69,86.44,88.17,89.0
89.09,88.71,89.5,87.82,88.52,88.54,89.42,87.31,88.41,88.79
88.39,89.42,89.8,87.82,88.44,88.61,88.15,87.98,89.37,89.21
88.51,89.67,90.09,87.75,89.22,89.38,89.24,87.87,89.67,89.31
88.96,89.15,89.52,87.09,88.95,89.67,88.55,87.68,89.28,87.7
89.28,89.12,89.43,88.24,88.64,89.59,89.98,87.24,89.43,89.48
89.35,89.1,89.94,86.74,88.79,89.09,89.64,88.18,89.29,88.81
88.78,89.03,89.85,86.81,88.81,89.08,88.88,88.21,88.93,88.78
87.71,88.21,90.04,88.09,89.32,89.37,88.76,85.82,89.61,88.77
89.55,89.97,89.56,87.71,88.64,89.44,88.84,87.37,88.86,89.18
88.2,88.56,89.94,87.72,88.76,88.61,88.76,87.34,90.32,89.0
88.84,89.79,90.11,87.05,88.4,88.97,88.94,87.89,89.53,89.38
88.07,87.4,89.62,86.94,88.81,89.42,88.82,88.47,89.72,88.46
