27.8,26.91,30.09,26.66,28.59,32.4,26.15,29.76,17.98,35.67
41.13,37.57,41.85,40.41,44.16,46.06,36.66,39.81,31.19,48.97
50.8,48.08,54.2,50.87,54.12,53.83,42.98,51.91,42.64,55.44
59.18,56.56,62.29,59.07,64.56,60.74,52.75,58.69,53.68,64.1
63.18,65.07,66.95,67.02,68.26,67.58,59.2,63.32,61.54,67.82
69.17,71.74,70.57,70.09,71.17,73.99,66.82,67.52,67.7,70.34
69.79,75.85,74.6,71.51,77.04,77.48,70.93,68.53,66.91,73.87
72.79,76.96,76.25,75.59,79.58,78.04,75.08,72.23,74.13,77.77
77.67,77.81,79.55,76.61,82.06,80.75,76.44,76.8,76.0,81.12
79.32,81.12,80.39,79.64,79.78,78.97,79.52,77.38,77.46,80.23
80.14,78.8,80.08,80.76,82.75,81.86,80.93,80.8,79.38,80.65
79.82,80.64,81.47,82.85,82.2,82.02,81.6,77.92,81.46,81.87
82.24,82.41,81.85,81.65,83.08,82.07,80.75,81.89,82.03,84.11
80.71,82.14,83.85,82.88,84.04,84.74,81.87,82.47,82.58,84.06
82.34,83.92,82.64,84.14,84.19,85.06,82.81,83.26,83.52,83.58
84.39,84.79,84.42,83.79,84.8,85.78,83.13,82.35,81.75,85.24
84.3,85.34,82.28,84.21,84.24,85.3,85.51,83.74,84.24,85.67
84.62,85.8,84.27,84.99,85.0,86.46,84.37,83.37,84.09,83.16
83.94,84.73,85.36,85.76,85.88,84.48,84.33,85.74,85.67,85.73
84.74,86.32,85.29,84.97,86.78,86.62,85.66,84.88,86.29,83.81
85.95,86.44,86.32,85.61,87.16,87.23,83.97,85.99,86.01,85.78
85.84,86.09,86.19,85.67,87.58,86.91,85.69,86.0,86.23,86.7
86.1,86.47,85.24,86.12,86.11,87.07,86.11,87.14,86.0,86.05
85.79,87.44,85.79,84.58,87.19,87.03,85.73,86.37,86.38,86.71
86.14,86.31,87.45,86.92,87.51,86.86,86.95,85.15,87.23,87.27
87.29,86.74,86.78,87.85,86.94,87.92,86.3,87.84,85.71,86.18
85.42,87.32,86.05,86.36,86.63,88.21,86.37,86.36,85.08,87.16
87.52,87.45,87.8,86.28,85.74,87.65,86.91,86.46,88.18,87.24
86.27,86.43,87.84,84.75,87.31,87.49,87.39,85.66,87.36,86.98
84.82,86.99,86.82,86.33,87.4,87.84,87.58,86.93,87.53,88.17
88.17,87.43,86.67,87.74,86.83,88.51,87.88,83.64,87.69,86.9
87.66,87.72,86.69,85.21,88.29,88.2,87.75,86.39,88.03,88.37
87.29,88.33,87.28,88.37,87.49,87.37,87.78,86.99,88.22,87.92
88.21,87.28,87.73,88.28,88.13,88.31,88.73,86.16,88.35,87.87
88.43,88.87,88.54,87.47,89.0,88.36,85.95,88.13,88.16,87.65
87.52,88.37,88.01,88.24,88.32,87.4,87.12,88.2,88.51,88.0
87.75,86.24,88.72,87.92,89.08,87.26,89.16,88.68,88.39,87.42
86.18,88.53,87.67,88.59,88.31,86.14,87.55,86.39,88.02,88.99
88.6,87.87,88.26,88.48,87.8,87.55,87.69,88.5,88.27,88.61
87.9,88.54,87.41,88.25,89.18,87.64,87.44,87.12,87.96,88.54
87.12,88.18,87.92,86.55,88.15,89.51,87.39,87.54,89.57,88.25
89.19,88.73,88.83,87.17,88.76,87.97,88.43,89.03,88.57,88.04
87.41,89.14,88.04,87.76,88.67,86.4,88.84,89.02,88.42,89.55
88.65,88.12,88.99,87.63,89.09,89.36,88.9,89.19,88.6,88.18
87.17,88.77,86.39,88.03,89.03,87.6,88.98,88.15,88.35,88.79
89.69,89.1,88.13,86.17,87.92,89.03,87.71,89.0,88.68,87.64
88.93,89.59,88.99,88.13,89.11,89.38,88.36,88.55,89.35,88.63
88.58,88.93,87.92,88.08,88.8,89.42,88.74,89.01,88.06,87.25
88.68,89.05,89.45,88.45,88.44,89.22,88.39,88.74,88.72,87.92
87.71,88.94,89.67,88.73,89.37,89.28,88.9,87.58,89.24,88.24
87.8,88.91,87.7,87.65,89.04,89.25,89.31,88.41,88.87,89.5
89.38,89.21,88.75,88.36,89.23,88.59,89.01,88.08,89.69,88.56
89.07,88.63,88.1,88.28,87.87,89.77,88.72,88.64,88.59,89.84
88.93,89.31,88.96,89.62,89.28,89.12,88.44,89.25,89.21,88.81
88.61,88.98,88.37,88.31,89.82,89.51,88.83,89.68,87.3,89.21
88.17,89.65,90.13,89.07,89.86,88.99,88.38,89.37,88.83,88.46
88.39,87.58,89.09,88.69,89.4,88.34,88.97,88.9,88.99,89.58
89.99,89.27,89.82,88.55,89.7,88.9,88.95,89.31,90.08,89.83
88.14,88.06,88.53,87.23,89.31,89.53,89.26,89.16,89.85,89.09
89.88,89.48,88.86,86.29,88.82,88.56,88.66,89.3,88.97,89.72
