35.62,30.02,38.53,41.1,42.54,37.21,41.61,40.6,33.65,42.36
49.45,55.81,32.52,53.08,52.03,54.64,47.61,50.14,43.21,53.56
59.11,64.34,53.19,56.01,59.27,60.11,57.1,60.64,59.24,61.85
60.81,63.83,60.04,63.74,68.01,57.78,66.81,63.13,60.27,69.58
67.65,68.25,62.49,65.72,68.54,72.59,71.36,64.18,70.34,71.61
69.7,70.09,77.17,74.7,71.76,66.41,71.58,74.97,74.24,74.26
72.84,71.69,79.6,79.15,66.35,76.76,74.18,71.61,74.35,69.56
76.82,78.91,77.46,78.05,76.45,78.59,74.67,66.68,78.07,79.08
76.8,80.08,82.11,77.57,75.74,70.73,80.04,80.3,79.41,77.31
78.75,80.77,77.61,80.53,82.38,81.23,80.95,79.47,82.04,79.61
76.18,80.76,80.37,84.52,81.38,84.33,83.01,80.69,75.86,76.94
77.16,83.25,81.64,79.57,81.72,83.18,83.3,78.9,83.18,80.28
82.99,84.58,79.29,84.67,72.65,84.64,82.66,81.09,78.11,80.44
81.43,82.74,84.03,81.61,80.58,82.57,83.13,83.83,84.07,83.25
79.09,83.82,85.31,81.27,82.93,80.64,77.34,84.7,82.32,83.5
80.9,86.07,84.64,81.06,85.28,83.54,81.6,81.97,83.8,86.54
77.65,87.24,84.15,82.62,84.12,85.85,84.5,85.78,86.49,85.46
83.21,82.52,86.47,86.12,86.11,85.04,83.78,84.9,83.64,85.84
80.06,84.4,87.03,85.93,85.31,86.89,86.1,86.31,84.51,83.11
86.67,87.3,87.12,86.21,87.03,85.95,87.96,86.15,85.03,84.07
87.2,81.88,86.73,81.53,78.36,84.91,86.11,81.6,86.8,84.21
84.04,86.18,88.6,85.95,84.28,87.2,87.32,85.47,86.88,84.29
84.85,86.57,89.02,86.92,85.39,84.9,86.61,86.71,86.65,85.01
87.53,87.32,87.82,86.36,86.53,87.11,88.16,88.38,87.9,85.72
87.17,87.0,86.12,83.38,86.82,88.2,85.17,85.83,85.94,85.95
87.94,88.27,86.57,85.53,86.11,85.79,87.72,88.96,86.22,86.52
88.07,88.18,87.47,85.94,88.43,89.34,88.6,85.9,88.34,86.26
88.49,89.17,85.99,85.05,85.59,86.12,83.02,89.72,87.93,87.45
88.36,83.89,89.34,87.18,86.14,87.81,88.5,83.17,87.57,84.74
87.28,86.4,87.86,86.81,87.91,85.0,89.93,88.17,81.58,86.13
87.74,87.28,89.17,88.61,86.71,86.42,87.44,87.17,87.58,85.91
86.14,88.32,88.01,89.4,84.38,86.33,88.61,87.22,88.68,85.4
86.61,89.04,89.48,86.8,85.98,89.38,87.1,88.2,88.48,88.46
88.25,87.31,89.33,89.01,88.97,85.69,89.5,89.4,86.21,87.62
87.04,86.86,89.74,89.1,85.66,86.49,87.44,89.49,88.93,89.3
87.7,88.44,89.58,88.56,88.98,88.41,88.57,88.84,89.55,88.42
88.9,87.56,89.42,88.94,86.91,88.72,89.36,87.59,89.97,87.84
88.14,88.75,89.25,89.07,86.23,89.68,86.58,87.71,85.77,88.8
88.38,89.47,88.49,89.74,85.44,86.58,85.82,88.97,89.32,88.15
87.17,89.48,89.18,87.33,89.12,88.48,89.29,88.95,89.37,88.8
88.5,89.06,89.33,88.54,88.43,89.08,86.55,88.48,89.15,87.84
89.31,87.97,88.74,88.8,88.59,90.13,89.42,89.72,87.5,88.89
89.6,89.86,89.62,90.04,86.17,88.57,89.2,88.27,89.1,88.23
89.26,88.48,89.0,88.51,87.79,89.44,89.53,88.89,89.52,88.85
89.56,87.79,89.8,87.34,90.37,89.29,89.12,90.76,87.84,86.77
88.61,87.68,89.38,89.47,88.63,86.91,90.22,84.18,89.88,88.33
89.08,89.7,89.87,89.09,90.32,89.67,89.75,90.19,88.07,88.57
88.67,88.09,89.06,89.24,88.61,90.14,89.05,87.96,90.56,88.71
87.68,90.3,89.38,90.37,90.35,89.18,89.06,90.13,86.89,89.74
89.34,89.66,90.75,90.93,87.4,88.65,85.46,89.15,90.63,90.47
89.97,90.68,91.05,90.13,86.6,90.28,89.72,89.47,87.78,90.28
88.89,88.28,89.15,89.43,89.26,89.85,88.74,89.97,89.11,89.72
88.99,90.35,89.83,89.6,87.38,88.67,89.31,90.46,88.65,86.19
87.8,89.8,89.01,88.01,90.09,90.46,91.08,89.21,89.07,88.9
88.54,89.66,90.84,89.72,87.54,89.46,89.31,89.33,88.81,89.52
88.62,90.52,90.88,89.22,90.04,90.13,90.45,89.54,89.13,90.27
90.43,88.14,91.19,85.47,89.92,90.39,90.25,89.82,88.74,86.7
90.4,90.12,90.43,90.49,89.93,90.25,89.6,88.74,91.34,89.11
89.85,90.24,90.09,88.05,89.36,90.31,90.2,89.95,89.43,89.85
89.91,87.61,90.79,89.98,89.34,90.68,89.3,89.73,86.37,90.63
89.49,88.65,90.2,88.96,90.18,88.13,90.43,90.37,90.54,90.24
89.89,90.34,89.8,90.01,89.13,88.32,89.53,89.82,89.07,89.85
88.91,88.27,88.81,89.6,89.43,87.24,90.41,88.72,90.42,90.15
89.83,89.45,89.59,86.04,87.47,88.01,90.83,89.88,89.4,90.57
90.03,90.48,90.08,89.41,88.67,90.2,89.23,90.94,90.94,89.6
90.35,90.2,90.27,89.3,89.63,90.23,90.08,89.96,86.07,89.45
90.59,89.69,89.85,90.63,88.69,90.56,83.99,88.32,87.88,90.02
89.54,89.98,88.47,89.83,89.15,90.4,88.69,90.3,90.03,84.66
88.47,87.87,89.91,90.46,88.55,88.84,90.81,90.45,91.0,90.24
90.21,90.45,86.06,90.23,87.42,90.33,90.4,90.57,89.48,91.15
90.83,90.51,89.98,90.56,90.51,89.07,89.01,90.33,90.41,91.17
90.19,90.16,91.15,89.46,89.17,89.69,89.03,89.13,90.42,89.4
90.63,91.13,90.97,90.43,89.08,89.58,89.46,91.23,88.97,90.92
89.41,90.76,89.47,90.68,91.2,90.83,90.14,90.34,90.49,88.05
84.08,89.1,91.76,88.11,90.21,90.44,88.67,88.59,90.23,89.39
89.76,90.86,89.85,91.52,90.01,87.99,87.96,90.18,88.0,88.34
88.9,89.91,90.5,89.88,90.7,89.85,89.25,91.62,88.99,90.36
89.98,88.94,90.94,90.62,90.55,88.59,90.83,89.96,91.15,90.08
89.81,88.82,90.9,90.72,90.61,90.71,89.38,90.4,91.35,90.11
90.4,89.59,91.15,91.31,90.45,89.75,90.35,90.58,89.18,91.03
90.78,90.88,89.99,90.84,90.84,89.43,90.48,89.1,88.33,90.71
89.06,90.07,90.01,90.09,89.7,89.3,89.13,90.59,89.94,90.65
90.21,90.46,90.42,90.51,89.84,91.11,90.81,90.86,89.17,90.57
89.72,88.97,90.32,90.78,90.52,89.62,91.09,90.44,88.74,90.17
89.51,90.56,89.19,90.67,89.96,89.76,90.43,89.93,90.68,89.45
88.56,90.35,91.12,90.93,91.33,89.68,89.05,91.74,91.02,91.69
86.74,90.69,90.61,86.91,90.66,87.82,90.38,91.25,90.77,91.18
89.55,88.68,90.95,90.73,89.15,89.23,89.55,91.29,90.11,90.82
90.02,90.94,90.05,90.0,86.97,91.11,90.16,91.69,90.1,90.67
90.72,88.65,91.24,90.64,90.91,90.94,89.48,91.52,90.65,89.71
88.55,89.79,87.78,89.99,90.75,89.42,90.73,91.37,91.19,91.22
90.84,90.44,89.75,90.33,88.54,89.7,90.14,91.2,91.72,89.7
91.03,90.06,90.41,89.33,90.74,89.02,90.68,91.21,91.03,90.36
91.07,90.57,90.57,90.15,90.62,91.19,90.6,91.23,91.18,91.17
90.82,91.4,90.81,91.27,90.96,91.28,90.99,91.55,90.27,90.95
